data_shopid,shop_name,recommend_dishes,shop_link,star_score,score_text,price,region,category,desc_addr_txt,reviews,address,biz_time,updated_at
Ga69MNf4QoiXjnvh, 北京宴(丰台总店), 招牌自家手掰豆腐、 北京宴鱼子酱烤鸭、 北京宴特色烤包子, https://www.dianping.com/shop/Ga69MNf4QoiXjnvh, 4.9, "口味:4.9 环境:4.9 服务:4.9", ¥360/人, 五棵松, 特色菜, 位于千禧商业街内, 8431, 靛厂路3号, 10:30-14:00、 17:00-21:30, 2025-11-13T13:50:29+08:00
G6Vi8vnu7WesYLR2, 就三桌·老北京铜锅涮肉(798店), 手切羊肉、 高钙羊肉片、 秘制麻酱, https://www.dianping.com/shop/G6Vi8vnu7WesYLR2, 4.8, "口味:4.8 环境:4.7 服务:4.8 食材:4.8", ¥116/人, 798/大山子, 老北京火锅, 距香格纳画廊30m, 5741, 北五环草场地艺术区114号村委会西, 10:00-22:30, 2025-11-13T13:50:45+08:00
k2IIzyDKxTUsz0lX, 四季民福烤鸭店(故宫店), 酥香嫩烤鸭、 贝勒烤肉、 巧拌豆苗, https://www.dianping.com/shop/k2IIzyDKxTUsz0lX, 4.7, "口味:4.7 环境:4.8 服务:4.7", ¥163/人, 王府井/东单, 烤鸭, 距地铁8号线金鱼胡同站C西南口步行700m, 57847, 南池子大街11号, 10:30-21:30, 2025-11-13T13:50:59+08:00
l1LQ8K9CypEbmzlE, 丰泽园饭庄(王府井店), 干炸丸子、 葱烧辽参、 北京酥不腻烤鸭, https://www.dianping.com/shop/l1LQ8K9CypEbmzlE, 4.6, "口味:4.6 环境:4.6 服务:4.6", ¥110/人, 王府井/东单, 烤鸭, 距地铁8号线王府井站E1口步行150m, 13818, 王府井大街301号王府商厦5层（王府井书店正对面华为授权体验店入口进入乘电梯上↑五层）, 11:00-14:30、 16:30-21:30, 2025-11-13T13:51:16+08:00
G5lqI434BbT01HZ3, Tomacado花厨(国贸商城店), 香草烤三黄鸡（半只）、 花厨特色蜂蜜烤南瓜沙拉、 花厨特色菌菇汤（配法棍）, https://www.dianping.com/shop/G5lqI434BbT01HZ3, 4.7, "口味:4.7 环境:4.8 服务:4.7 食材:4.8", ¥215/人, 国贸/建外, 牛排, 距地铁10号线国贸站E2西北口步行150m, 16779, 建国门外大街1号国贸商城中区一层CL1006号铺位, 11:00-22:00, 2025-11-13T13:51:31+08:00
G9jcnxvY5J8gIKup, 荣小馆(双井店), 大陈岛黄鱼、 板栗原味仔排、 家烧笋衣, https://www.dianping.com/shop/G9jcnxvY5J8gIKup, 4.7, "口味:4.7 环境:4.7 服务:4.7", ¥158/人, 双井, 苏浙菜, 距地铁10号线双井站B2东北口步行40m, 10511, 东三环中路24号乐成中心Space3_3层, 11:00-14:00、 17:00-21:00, 2025-11-13T13:51:49+08:00
G8EZWa5nwjQvQCDt, 基辅罗斯餐厅(翠微店), 罐焖牛肉、 红菜汤、 蒜香面包, https://www.dianping.com/shop/G8EZWa5nwjQvQCDt, 4.8, "口味:4.8 环境:4.8 服务:4.7", ¥178/人, 公主坟/万寿路, 俄罗斯菜, 距地铁公主坟站出入口步行1.1km, 21812, 普惠西街普惠南里13号, 11:30-21:00, 2025-11-13T13:52:05+08:00
GaLvmTNhT80CWTEO, 拾久(东三环中路店), 拾久绝味鱼头、 山楂鹅肝、 茉莉花香烤鸭, https://www.dianping.com/shop/GaLvmTNhT80CWTEO, 4.9, "口味:4.9 环境:4.8 服务:4.8", ¥230/人, 双井, 烤鸭, 距地铁10号线双井站E口步行720m, 14425, 东三环中路辅路与光华北一街交口第一家、麦乐迪对面, 11:30-14:30、 17:30-21:30, 2025-11-13T13:52:22+08:00
l3DBZMWaKcU0BmaV, 泓0871臻选云南菜·味庄, 招牌破酥包、 三年金钱火腿配大理手撕乳扇、 腾冲土锅子, https://www.dianping.com/shop/l3DBZMWaKcU0BmaV, 4.6, "口味:4.6 环境:4.8 服务:4.6", ¥254/人, 双桥, 云南菜|滇菜, , 5535, 双树路E9区创新工场6号楼, 11:00-14:00、 17:00-21:30, 2025-11-13T13:52:39+08:00
G67rMnm9RefNXxz5, 阿公阿嬷酒菜处·台湾菜(丽都店), 三杯鶏、 煎猪肝、 卤肉饭, https://www.dianping.com/shop/G67rMnm9RefNXxz5, 4.1, "口味:4.1 环境:4.3 服务:4.2", ¥98/人, 酒仙桥, 特色菜, 距地铁将台西站B口步行600m, 7316, 将台路甲2号金尚丽SHANG底商101室, 11:00-14:00、 17:00-22:00, 2025-11-13T13:52:57+08:00
