2025-09-30 11:00:38,474 - INFO - 📊 当前已同步数据总数: 51256
2025-09-30 11:00:39,947 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:39,964 - INFO - 新增登记证号：PD20150967
2025-09-30 11:00:41,794 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:43,083 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:44,583 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:46,769 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:46,794 - INFO - 📊 当前已同步数据总数: 51257
2025-09-30 11:00:48,054 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:49,462 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:50,935 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:50,971 - INFO - 新增登记证号：EX20250032
2025-09-30 11:00:52,219 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:53,813 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:53,861 - INFO - 📊 当前已同步数据总数: 51258
2025-09-30 11:00:55,569 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:56,950 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:58,662 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:00:59,975 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:01,254 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:01,277 - INFO - 新增登记证号：PD20251546
2025-09-30 11:01:01,279 - INFO - 📊 当前已同步数据总数: 51259
2025-09-30 11:01:02,474 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:04,008 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:05,785 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:07,592 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:07,611 - INFO - 新增登记证号：PD20251472
2025-09-30 11:01:09,335 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:09,359 - INFO - 📊 当前已同步数据总数: 51260
2025-09-30 11:01:10,877 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:12,293 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:12,315 - INFO - 新增登记证号：PD20251413
2025-09-30 11:01:14,128 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:16,029 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:16,048 - INFO - 新增登记证号：PD20251383
2025-09-30 11:01:17,660 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:17,684 - INFO - 📊 当前已同步数据总数: 51262
2025-09-30 11:01:19,602 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:19,627 - INFO - 新增登记证号：PD20251337
2025-09-30 11:01:21,492 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:23,448 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:23,470 - INFO - 新增登记证号：PD20251304
2025-09-30 11:01:25,080 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:25,099 - INFO - 新增登记证号：PD20251279
2025-09-30 11:01:25,100 - INFO - 新增登记证号：PD20251266
2025-09-30 11:01:26,967 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:26,989 - INFO - 新增登记证号：EX20250064
2025-09-30 11:01:26,991 - INFO - 📊 当前已同步数据总数: 51267
2025-09-30 11:01:28,752 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:30,375 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:32,220 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:33,980 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:35,715 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:35,740 - INFO - 📊 当前已同步数据总数: 51267
2025-09-30 11:01:37,077 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:38,795 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:40,585 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:41,917 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:43,284 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:43,305 - INFO - 📊 当前已同步数据总数: 51267
2025-09-30 11:01:44,704 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:46,543 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:48,318 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:49,928 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:51,762 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:51,784 - INFO - 📊 当前已同步数据总数: 51267
2025-09-30 11:01:53,461 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:55,234 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:57,048 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:01:58,468 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:02:00,261 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:02:00,281 - INFO - 📊 当前已同步数据总数: 51267
2025-09-30 11:02:01,603 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:02:02,788 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:02:04,421 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:02:06,318 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:02:07,868 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 11:02:07,892 - INFO - 📊 当前已同步数据总数: 51267
2025-09-30 11:02:09,642 - INFO - 📊 总页数：2562, 总记录数：51225
